,Open
2022-06-27,147.557312
2022-06-28,147.6405945
2022-06-29,147.7371368
2022-06-30,147.8366852
2022-07-01,147.9366608
2022-07-02,148.0337372
2022-07-03,148.1123962
2022-07-04,148.1500549
2022-07-05,148.1398621
2022-07-06,148.0885925
2022-07-07,148.1920929
2022-07-08,148.329071
2022-07-09,148.4850616
2022-07-10,148.6591187
2022-07-11,148.8185577
2022-07-12,148.9572449
2022-07-13,149.0807495
2022-07-14,149.2092896
2022-07-15,149.3437805
2022-07-16,149.4772186
2022-07-17,149.5894623
2022-07-18,149.6783752
2022-07-19,149.7391663
2022-07-20,149.7962494
2022-07-21,149.8606262
2022-07-22,149.901947
2022-07-23,149.9355774
2022-07-24,149.9547729
2022-07-25,149.9544525
2022-07-26,149.9513092
2022-07-27,149.9324951
2022-07-28,149.8885651
2022-07-29,149.8352051
2022-07-30,149.7746277
2022-07-31,149.6984711
2022-08-01,149.62677
2022-08-02,149.5712891
2022-08-03,149.556778
2022-08-04,149.5662384
2022-08-05,149.5884705
2022-08-06,149.5770416
2022-08-07,149.5074463
2022-08-08,149.4211731
2022-08-09,149.42659
2022-08-10,149.5168915
2022-08-11,149.7255249
2022-08-12,149.9612427
2022-08-13,150.1738281
2022-08-14,150.3278351
2022-08-15,150.4458618
2022-08-16,150.5544434
2022-08-17,150.6163025
2022-08-18,150.6297913
2022-08-19,150.6347961
2022-08-20,150.652359
2022-08-21,150.6424866
2022-08-22,150.6217651
2022-08-23,150.5979614
2022-08-24,150.5869293
2022-08-25,150.5793152
2022-08-26,150.5853119
2022-08-27,150.6027679
2022-08-28,150.6541901
2022-08-29,150.7458191
2022-08-30,150.8418274
2022-08-31,150.915802
2022-09-01,150.995575
2022-09-02,151.0578918
2022-09-03,151.1164551
2022-09-04,151.1324615
2022-09-05,151.1425934
2022-09-06,151.1415405
2022-09-07,151.1496582
2022-09-08,151.1697388
2022-09-09,151.1208801
2022-09-10,151.0645599
2022-09-11,150.9891663
2022-09-12,150.906662
2022-09-13,150.8003082
2022-09-14,150.6843414
2022-09-15,150.5533142
2022-09-16,150.3988495
2022-09-17,150.2819824
2022-09-18,150.202301
2022-09-19,150.1316528
2022-09-20,150.0535889
2022-09-21,149.9583435
2022-09-22,149.8404999
2022-09-23,149.7422791
2022-09-24,149.6942444
2022-09-25,149.7046204
2022-09-26,149.7438965
2022-09-27,149.8151245
2022-09-28,149.9146271
2022-09-29,149.9958344
2022-09-30,150.0714722
2022-10-01,150.1427307
2022-10-02,150.1876221
2022-10-03,150.2199707
2022-10-04,150.2148132
2022-10-05,150.1856384
2022-10-06,150.145813
2022-10-07,150.1131287
2022-10-08,150.0935822
2022-10-09,150.1112366
2022-10-10,150.1793823
2022-10-11,150.2630005
2022-10-12,150.3693542
2022-10-13,150.4873657
2022-10-14,150.6042328
2022-10-15,150.7145538
2022-10-16,150.8120117
2022-10-17,150.9051208
2022-10-18,150.9833069
2022-10-19,151.0274506
2022-10-20,151.04953
2022-10-21,151.0788116
2022-10-22,151.1050873
2022-10-23,151.1156006
2022-10-24,151.1104126
2022-10-25,151.0867767
2022-10-26,151.0649109
2022-10-27,151.0494385
2022-10-28,151.0578766
2022-10-29,151.0986938
2022-10-30,151.1520996
2022-10-31,151.2115326
2022-11-01,151.2597809
2022-11-02,151.3040314
2022-11-03,151.3399811
2022-11-04,151.3868408
2022-11-05,151.4207916
2022-11-06,151.4566956
2022-11-07,151.486618
2022-11-08,151.5022888
2022-11-09,151.5370789
2022-11-10,151.5873108
2022-11-11,151.6371155
2022-11-12,151.6640625
2022-11-13,151.6792603
2022-11-14,151.827179
2022-11-15,151.9936066
2022-11-16,152.1529236
2022-11-17,152.3099518
2022-11-18,152.4711914
2022-11-19,152.6196899
2022-11-20,152.7450562
2022-11-21,152.8534546
2022-11-22,152.9525452
2022-11-23,153.046814
2022-11-24,153.1456604
2022-11-25,153.2269592
2022-11-26,153.2889709
2022-11-27,153.3504333
2022-11-28,153.4027863
2022-11-29,153.446579
2022-11-30,153.4636536
2022-12-01,153.4828491
2022-12-02,153.4972992
2022-12-03,153.5341797
2022-12-04,153.5817871
2022-12-05,153.6181946
2022-12-06,153.6473083
2022-12-07,153.6692505
2022-12-08,153.6818237
2022-12-09,153.6732635
2022-12-10,153.6712341
2022-12-11,153.6681976
2022-12-12,153.6664734
2022-12-13,153.6744385
2022-12-14,153.6959991
2022-12-15,153.7139893
2022-12-16,153.7344513
2022-12-17,153.7571106
2022-12-18,153.7669525
2022-12-19,153.7803497
2022-12-20,153.7900696
2022-12-21,153.7786865
2022-12-22,153.7993774
2022-12-23,153.8492584
2022-12-24,153.9017181
2022-12-25,153.9432831
2022-12-26,153.9766541
2022-12-27,154.0072479
2022-12-28,154.0387115
2022-12-29,154.0582733
2022-12-30,154.0654755
2022-12-31,154.0633392
2023-01-01,154.0343933
2023-01-02,153.995636
2023-01-03,153.9575195
2023-01-04,153.9206848
2023-01-05,153.8878784
2023-01-06,153.8573914
2023-01-07,153.8412018
2023-01-08,153.8382263
2023-01-09,153.8587799
2023-01-10,153.8950653
2023-01-11,153.9285278
2023-01-12,153.9540863
2023-01-13,153.9755554
2023-01-14,154.0244598
2023-01-15,154.0972595
2023-01-16,154.1424713
2023-01-17,154.1843872
2023-01-18,154.2371368
2023-01-19,154.3322754
2023-01-20,154.4675598
2023-01-21,154.5788727
2023-01-22,154.6690369
2023-01-23,154.7729645
2023-01-24,154.8672791
2023-01-25,154.9387207
2023-01-26,154.943985
2023-01-27,154.9304657
2023-01-28,154.9263611
2023-01-29,154.9265442
2023-01-30,154.9301758
2023-01-31,154.9217529
2023-02-01,154.9139099
2023-02-02,154.9064636
2023-02-03,154.897522
2023-02-04,154.8834381
2023-02-05,154.8632507
2023-02-06,154.8610229
2023-02-07,154.8598175
2023-02-08,154.8645477
2023-02-09,154.8807526
2023-02-10,154.8942871
2023-02-11,154.8523102
2023-02-12,154.7127533
2023-02-13,154.5916595
2023-02-14,154.4758911
2023-02-15,154.338974
2023-02-16,154.2125092
2023-02-17,154.1314087
2023-02-18,154.0884399
2023-02-19,154.0554962
2023-02-20,154.0400543
2023-02-21,154.0363922
2023-02-22,154.0520172
2023-02-23,154.0424805
2023-02-24,154.0335541
2023-02-25,154.0133667
2023-02-26,154
2023-02-27,153.9897766
2023-02-28,153.976532
2023-03-01,153.953186
2023-03-02,153.9424744
2023-03-03,153.951416
2023-03-04,153.9728699
2023-03-05,154.004364
2023-03-06,154.0516968
2023-03-07,154.1237183
2023-03-08,154.2080994
